,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
748,2021/2022,Tottenham,Watford,1-0,0-0,1-0,"57,672",13:00,1,0,0,0,1,0,1,0,1,Home
749,2021/2022,West Ham,Crystal Palace,1-0,1-2,2-2,"59,751",14:00,1,0,1,2,2,2,1,3,4,Draw
750,2021/2022,Liverpool,Chelsea,1-1,0-0,1-1,"54,000",16:30,1,1,0,0,1,1,2,0,2,Draw
751,2021/2022,Brighton,Everton,0-1,0-1,0-2,"30,548",14:00,0,1,0,1,0,2,1,1,2,Away
752,2021/2022,Norwich,Leicester City,1-1,0-1,1-2,"26,765",14:00,1,1,0,1,1,2,2,1,3,Away
753,2021/2022,Newcastle,Southampton,0-0,2-2,2-2,"44,017",14:00,0,0,2,2,2,2,0,4,4,Draw
754,2021/2022,Aston Villa,Brentford,1-1,0-0,1-1,"42,045",14:00,1,1,0,0,1,1,2,0,2,Draw
755,2021/2022,Man City,Arsenal,3-0,2-0,5-0,"52,276",11:30,3,0,2,0,5,0,3,2,5,Home
756,2021/2022,West Ham,Leicester City,1-0,3-1,4-1,"59,901",19:00,1,0,3,1,4,1,1,4,5,Home
757,2021/2022,Arsenal,Chelsea,0-2,0-0,0-2,"58,729",15:30,0,2,0,0,0,2,2,0,2,Away
758,2021/2022,Southampton,Man Utd,1-0,0-1,1-1,"32,000",13:00,1,0,0,1,1,1,1,1,2,Draw
759,2021/2022,Wolves,Tottenham,0-1,0-0,0-1,"30,368",13:00,0,1,0,0,0,1,1,0,1,Away
760,2021/2022,Brighton,Watford,2-0,0-0,2-0,"29,485",16:30,2,0,0,0,2,0,2,0,2,Home
761,2021/2022,Man City,Norwich,2-0,3-0,5-0,"51,437",14:00,2,0,3,0,5,0,2,3,5,Home
762,2021/2022,Crystal Palace,Brentford,0-0,0-0,0-0,"23,091",14:00,0,0,0,0,0,0,0,0,0,Draw
763,2021/2022,Leeds Utd,Everton,1-1,1-1,2-2,"36,293",14:00,1,1,1,1,2,2,2,2,4,Draw
764,2021/2022,Aston Villa,Newcastle,1-0,1-0,2-0,"41,964",14:00,1,0,1,0,2,0,1,1,2,Home
765,2021/2022,Newcastle,West Ham,2-1,0-3,2-4,"50,673",13:00,2,1,0,3,2,4,3,3,6,Away
766,2021/2022,Liverpool,Burnley,1-0,1-0,2-0,"52,591",11:30,1,0,1,0,2,0,1,1,2,Home
767,2021/2022,Tottenham,Man City,0-0,1-0,1-0,"58,262",15:30,0,0,1,0,1,0,0,1,1,Home
768,2021/2022,Norwich,Liverpool,0-1,0-2,0-3,"27,023",16:30,0,1,0,2,0,3,1,2,3,Away
769,2021/2022,Watford,Aston Villa,2-0,1-2,3-2,"20,051",14:00,2,0,1,2,3,2,2,3,5,Home
770,2021/2022,Burnley,Brighton,1-0,0-2,1-2,"16,910",14:00,1,0,0,2,1,2,1,2,3,Away
771,2021/2022,Leicester City,Wolves,1-0,0-0,1-0,"31,983",14:00,1,0,0,0,1,0,1,0,1,Home
772,2021/2022,Everton,Southampton,0-1,3-0,3-1,"38,487",14:00,0,1,3,0,3,1,1,3,4,Home
773,2021/2022,Chelsea,Crystal Palace,2-0,1-0,3-0,"38,965",14:00,2,0,1,0,3,0,2,1,3,Home
774,Brentford - Arsenal,Brentford,Arsenal,1-0,1-0,2-0,"16,479",19:00,1,0,1,0,2,0,1,1,2,Home
775,2020/2021,Man City,Leicester City,1-1,1-4,2-5,Unknown,15:30,1,1,1,4,2,5,2,5,7,Away
776,2021/2022,Man Utd,Leeds Utd,1-0,4-1,5-1,"72,732",11:30,1,0,4,1,5,1,1,5,6,Home
