,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
809,2020/2021,Kasımpaşa,Malatyaspor,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
810,2020/2021,Erzurumspor,Beşiktaş,2-2,0-2,2-4,Unknown,16:00,2,2,0,2,2,4,4,2,6,Away
811,2020/2021,Kayserispor,Antalyaspor,0-1,0-0,0-1,Unknown,13:00,0,1,0,0,0,1,1,0,1,Away
812,Ankaragücü - Gençlerbirliği,Ankaragücü,Gençlerbirliği,0-0,2-1,2-1,Unknown,13:00,0,0,2,1,2,1,0,3,3,Home
813,2020/2021,Galatasaray,Karagümrük,0-0,1-1,1-1,Unknown,16:00,0,0,1,1,1,1,0,2,2,Draw
814,2020/2021,Rizespor,Trabzonspor,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
815,Sivasspor - Konyaspor,Sivasspor,Konyaspor,1-0,2-1,3-1,Unknown,10:30,1,0,2,1,3,1,1,3,4,Home
816,2020/2021,Hatayspor,Göztepe,0-2,2-1,2-3,Unknown,10:30,0,2,2,1,2,3,2,3,5,Away
817,2020/2021,Malatyaspor,Fenerbahçe,1-1,0-0,1-1,Unknown,16:00,1,1,0,0,1,1,2,0,2,Draw
818,2020/2021,Gaziantep,Başakşehir,1-0,1-0,2-0,Unknown,13:00,1,0,1,0,2,0,1,1,2,Home
819,2020/2021,Denizlispor,Kasımpaşa,0-0,1-1,1-1,Unknown,13:00,0,0,1,1,1,1,0,2,2,Draw
820,2020/2021,Antalyaspor,Sivasspor,1-2,1-2,2-4,Unknown,16:00,1,2,1,2,2,4,3,3,6,Away
821,2020/2021,Konyaspor,Ankaragücü,0-0,1-1,1-1,Unknown,13:00,0,0,1,1,1,1,0,2,2,Draw
822,Gençlerbirliği - Erzurumspor,Gençlerbirliği,Erzurumspor,1-0,0-1,1-1,Unknown,13:00,1,0,0,1,1,1,1,1,2,Draw
823,2020/2021,Beşiktaş,Alanyaspor,1-0,2-0,3-0,Unknown,16:00,1,0,2,0,3,0,1,2,3,Home
824,2020/2021,Trabzonspor,Kayserispor,1-1,0-0,1-1,Unknown,16:00,1,1,0,0,1,1,2,0,2,Draw
825,2020/2021,Karagümrük,Hatayspor,0-0,1-0,1-0,Unknown,13:00,0,0,1,0,1,0,0,1,1,Home
826,Göztepe - Rizespor,Göztepe,Rizespor,0-0,2-0,2-0,Unknown,13:00,0,0,2,0,2,0,0,2,2,Home
827,2020/2021,Fenerbahçe,Denizlispor,0-0,1-0,1-0,Unknown,16:00,0,0,1,0,1,0,0,1,1,Home
828,2020/2021,Kasımpaşa,Beşiktaş,1-0,0-0,1-0,Unknown,16:00,1,0,0,0,1,0,1,0,1,Home
829,2020/2021,Alanyaspor,Gençlerbirliği,1-1,0-1,1-2,Unknown,13:00,1,1,0,1,1,2,2,1,3,Away
830,2020/2021,Başakşehir,Malatyaspor,1-0,2-1,3-1,Unknown,13:00,1,0,2,1,3,1,1,3,4,Home
831,Ankaragücü - Antalyaspor,Ankaragücü,Antalyaspor,0-0,1-0,1-0,Unknown,13:00,0,0,1,0,1,0,0,1,1,Home
832,2020/2021,Erzurumspor,Konyaspor,1-2,0-0,1-2,Unknown,10:30,1,2,0,0,1,2,3,0,3,Away
833,2020/2021,Hatayspor,Galatasaray,2-0,1-0,3-0,Unknown,16:00,2,0,1,0,3,0,2,1,3,Home
834,Sivasspor - Trabzonspor,Sivasspor,Trabzonspor,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
835,2020/2021,Rizespor,Karagümrük,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
836,2020/2021,Kayserispor,Göztepe,1-0,0-1,1-1,Unknown,10:30,1,0,0,1,1,1,1,1,2,Draw
