,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
837,2020/2021,Stuttgart,Union Berlin,0-1,2-1,2-2,Unknown,19:30,0,1,2,1,2,2,1,3,4,Draw
838,2020/2021,Frankfurt,M'gladbach,3-1,0-2,3-3,Unknown,17:30,3,1,0,2,3,3,4,2,6,Draw
839,2020/2021,Leverkusen,Hoffenheim,2-0,2-1,4-1,Unknown,17:00,2,0,2,1,4,1,2,3,5,Home
840,2020/2021,Augsburg,Schalke,1-0,1-2,2-2,Unknown,14:30,1,0,1,2,2,2,1,3,4,Draw
841,2020/2021,Union Berlin,Bayern,1-0,0-1,1-1,Unknown,17:30,1,0,0,1,1,1,1,1,2,Draw
842,2020/2021,Mainz,Köln,0-0,0-1,0-1,Unknown,14:30,0,0,0,1,0,1,0,1,1,Away
843,2020/2021,Freiburg,Bielefeld,0-0,2-0,2-0,Unknown,14:30,0,0,2,0,2,0,0,2,2,Home
844,2020/2021,M'gladbach,Hertha,0-0,1-1,1-1,Unknown,14:30,0,0,1,1,1,1,0,2,2,Draw
845,2020/2021,Dortmund,Stuttgart,1-1,0-4,1-5,Unknown,14:30,1,1,0,4,1,5,2,4,6,Away
846,2020/2021,RB Leipzig,W. Bremen,2-0,0-0,2-0,Unknown,14:30,2,0,0,0,2,0,2,0,2,Home
847,2020/2021,Wolfsburg,Frankfurt,0-0,2-1,2-1,Unknown,19:30,0,0,2,1,2,1,0,3,3,Home
848,2020/2021,Hoffenheim,Augsburg,1-1,2-0,3-1,Unknown,19:30,1,1,2,0,3,1,2,2,4,Home
849,2020/2021,Schalke,Leverkusen,0-1,0-2,0-3,Unknown,17:00,0,1,0,2,0,3,1,2,3,Away
850,2020/2021,W. Bremen,Stuttgart,0-1,1-1,1-2,Unknown,14:30,0,1,1,1,1,2,1,2,3,Away
851,2020/2021,Bayern,RB Leipzig,2-2,1-1,3-3,Unknown,17:30,2,2,1,1,3,3,4,2,6,Draw
852,2020/2021,Freiburg,M'gladbach,1-1,1-1,2-2,Unknown,14:30,1,1,1,1,2,2,2,2,4,Draw
853,2020/2021,Bielefeld,Mainz,2-0,0-1,2-1,Unknown,14:30,2,0,0,1,2,1,2,1,3,Home
854,2020/2021,Frankfurt,Dortmund,1-0,0-1,1-1,Unknown,14:30,1,0,0,1,1,1,1,1,2,Draw
855,2020/2021,Köln,Wolfsburg,2-1,0-1,2-2,Unknown,14:30,2,1,0,1,2,2,3,1,4,Draw
856,2020/2021,Hertha,Union Berlin,0-1,3-0,3-1,Unknown,19:30,0,1,3,0,3,1,1,3,4,Home
857,2020/2021,Mainz,Hoffenheim,1-0,0-1,1-1,Unknown,17:00,1,0,0,1,1,1,1,1,2,Draw
858,2020/2021,M'gladbach,Schalke,2-1,2-0,4-1,Unknown,17:30,2,1,2,0,4,1,3,2,5,Home
859,2020/2021,Leverkusen,Hertha,0-0,0-0,0-0,Unknown,14:30,0,0,0,0,0,0,0,0,0,Draw
860,2020/2021,RB Leipzig,Bielefeld,1-0,1-1,2-1,Unknown,14:30,1,0,1,1,2,1,1,2,3,Home
861,2020/2021,Union Berlin,Frankfurt,2-2,1-1,3-3,Unknown,14:30,2,2,1,1,3,3,4,2,6,Draw
862,2020/2021,Augsburg,Freiburg,0-0,1-1,1-1,Unknown,14:30,0,0,1,1,1,1,0,2,2,Draw
863,2020/2021,Stuttgart,Bayern,1-2,0-1,1-3,Unknown,14:30,1,2,0,1,1,3,3,1,4,Away
864,2020/2021,Dortmund,Köln,0-1,1-1,1-2,Unknown,14:30,0,1,1,1,1,2,1,2,3,Away
865,2020/2021,Wolfsburg,W. Bremen,3-2,2-1,5-3,Unknown,19:30,3,2,2,1,5,3,5,3,8,Home
866,2020/2021,Freiburg,Mainz,0-3,1-0,1-3,Unknown,14:30,0,3,1,0,1,3,3,1,4,Away
867,2020/2021,Köln,Union Berlin,1-1,0-1,1-2,Unknown,17:00,1,1,0,1,1,2,2,1,3,Away
868,2020/2021,Hertha,Dortmund,1-0,1-5,2-5,Unknown,19:30,1,0,1,5,2,5,1,6,7,Away
869,2020/2021,Frankfurt,RB Leipzig,1-0,0-1,1-1,Unknown,17:30,1,0,0,1,1,1,1,1,2,Draw
870,2020/2021,Hoffenheim,Stuttgart,1-2,2-1,3-3,Unknown,14:30,1,2,2,1,3,3,3,3,6,Draw
871,2020/2021,Bielefeld,Leverkusen,0-1,1-1,1-2,Unknown,14:30,0,1,1,1,1,2,1,2,3,Away
872,2020/2021,Bayern,W. Bremen,0-1,1-0,1-1,Unknown,14:30,0,1,1,0,1,1,1,1,2,Draw
873,2020/2021,Leverkusen,M'gladbach,2-2,2-1,4-3,Unknown,17:00,2,2,2,1,4,3,4,3,7,Home
874,2020/2021,M'gladbach,Augsburg,1-0,0-1,1-1,Unknown,14:30,1,0,0,1,1,1,1,1,2,Draw
875,2020/2021,Schalke,Wolfsburg,0-2,0-0,0-2,Unknown,14:30,0,2,0,0,0,2,2,0,2,Away
876,2020/2021,Wolfsburg,Hoffenheim,2-0,0-1,2-1,Unknown,14:30,2,0,0,1,2,1,2,1,3,Home
877,2020/2021,Dortmund,Bayern,1-1,1-2,2-3,Unknown,17:30,1,1,1,2,2,3,2,3,5,Away
878,2020/2021,Stuttgart,Frankfurt,2-0,0-2,2-2,Unknown,14:30,2,0,0,2,2,2,2,2,4,Draw
879,2020/2021,RB Leipzig,Freiburg,1-0,2-0,3-0,Unknown,14:30,1,0,2,0,3,0,1,2,3,Home
880,2020/2021,Union Berlin,Bielefeld,3-0,2-0,5-0,Unknown,14:30,3,0,2,0,5,0,3,2,5,Home
881,2020/2021,Augsburg,Hertha,0-1,0-2,0-3,Unknown,14:30,0,1,0,2,0,3,1,2,3,Away
882,2020/2021,Mainz,Schalke,2-1,0-1,2-2,Unknown,14:30,2,1,0,1,2,2,3,1,4,Draw
883,2020/2021,W. Bremen,Köln,0-0,1-1,1-1,Unknown,19:30,0,0,1,1,1,1,0,2,2,Draw
884,2020/2021,Hoffenheim,Union Berlin,0-0,1-3,1-3,Unknown,19:30,0,0,1,3,1,3,0,4,4,Away
885,2020/2021,Hertha,Wolfsburg,1-1,0-0,1-1,Unknown,17:00,1,1,0,0,1,1,2,0,2,Draw
886,2020/2021,Freiburg,Leverkusen,1-2,1-2,2-4,Unknown,14:30,1,2,1,2,2,4,3,3,6,Away
887,2020/2021,M'gladbach,RB Leipzig,0-0,1-0,1-0,Unknown,17:30,0,0,1,0,1,0,0,1,1,Home
888,2020/2021,Köln,Bayern,0-2,1-0,1-2,Unknown,14:30,0,2,1,0,1,2,2,1,3,Away
889,2020/2021,Augsburg,Mainz,1-0,2-1,3-1,Unknown,14:30,1,0,2,1,3,1,1,3,4,Home
890,2020/2021,Bielefeld,Dortmund,0-0,0-2,0-2,Unknown,14:30,0,0,0,2,0,2,0,2,2,Away
