,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
851,2020/2021,Dijon,Nice,0-0,2-0,2-0,Unknown,13:00,0,0,2,0,2,0,0,2,2,Home
852,2020/2021,PSG,Saint-Étienne,0-0,3-2,3-2,Unknown,11:00,0,0,3,2,3,2,0,5,5,Home
853,2020/2021,Marseille,Lorient,0-1,3-1,3-2,Unknown,15:00,0,1,3,1,3,2,1,4,5,Home
854,2020/2021,Lyon,Angers,2-0,1-0,3-0,Unknown,19:00,2,0,1,0,3,0,2,1,3,Home
855,2020/2021,Angers,Rennais,0-1,0-2,0-3,Unknown,10:45,0,1,0,2,0,3,1,2,3,Away
856,2020/2021,Lille,Montpellier,0-1,1-0,1-1,Unknown,19:00,0,1,1,0,1,1,1,1,2,Draw
857,2020/2021,Monaco,Dijon,0-0,3-0,3-0,Unknown,15:05,0,0,3,0,3,0,0,3,3,Home
858,2020/2021,Saint-Étienne,Bordeaux,2-1,2-0,4-1,Unknown,13:00,2,1,2,0,4,1,3,2,5,Home
859,2020/2021,Lens,Lorient,2-1,2-0,4-1,Unknown,13:00,2,1,2,0,4,1,3,2,5,Home
860,2020/2021,Brest,Nimes,1-1,0-0,1-1,Unknown,13:00,1,1,0,0,1,1,2,0,2,Draw
861,2020/2021,Nice,Reims,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
862,2020/2021,Rennais,Nantes,0-0,1-0,1-0,Unknown,11:00,0,0,1,0,1,0,0,1,1,Home
863,2020/2021,Montpellier,Marseille,1-2,2-1,3-3,Unknown,19:00,1,2,2,1,3,3,3,3,6,Draw
864,2020/2021,Strasbourg,PSG,0-3,1-1,1-4,Unknown,15:00,0,3,1,1,1,4,3,2,5,Away
865,2020/2021,Metz,Lille,0-0,0-2,0-2,Unknown,19:00,0,0,0,2,0,2,0,2,2,Away
866,2020/2021,Marseille,Dijon,1-0,1-0,2-0,Unknown,19:00,1,0,1,0,2,0,1,1,2,Home
867,2020/2021,Nimes,Saint-Étienne,0-1,0-1,0-2,Unknown,15:05,0,1,0,1,0,2,1,1,2,Away
868,2020/2021,Lorient,Brest,1-0,0-0,1-0,Unknown,13:00,1,0,0,0,1,0,1,0,1,Home
